virus_id	accession_id	collection_date	country	pangolin_lineage
OEAV188112	EPI_ISL_467149	2020-03-18	Spain	A.2
OEAV142486	EPI_ISL_414510	2020-02-02	China	B
OEAV147316	EPI_ISL_417751	2020-03-04	Iceland	B.1.1.142
OEAV142471	EPI_ISL_414552	2020-03-07	Netherlands	B.1.1
OEAV143637	EPI_ISL_419774	2020-03-13	Australia	B.1
OEAV143682	EPI_ISL_419656	2020-02-26	Austria	B.1.1.331
OEAV169880	EPI_ISL_447843	2020-03-04	USA	B.1
OEAV192338	EPI_ISL_475069	2020-03-18	Belgium	B.1.1.75
OEAV224851	EPI_ISL_498032	2020-03-17	South Korea	B.1.1
OEAV146698	EPI_ISL_418237	2020-03-16	France	B.1
OEAV156114	EPI_ISL_428488	2020-01-31	Taiwan	B
OEAV148975	EPI_ISL_417320	2020-03-04	USA	B
OEAV144298	EPI_ISL_417313	2020-03-08	United Kingdom	B
OEAV150303	EPI_ISL_418904	2020-03-16	USA	B.1
OEAV176343	EPI_ISL_454466	2020-03-06	Sweden	B.1
OEAV188699	EPI_ISL_467922	2020-03-12	USA	B.1.110
OEAV146236	EPI_ISL_425475	2020-03-14	United Kingdom	B.61
OEAV167239	EPI_ISL_445259	2020-03-10	Chile	A.2
OEAV146850	EPI_ISL_421232	2020-01-21	China	B
OEAV143611	EPI_ISL_419765	2020-03-10	Australia	B
OEAV189581	EPI_ISL_469253	2020-02-28	China	B
OEAV142828	EPI_ISL_416866	2020-01-24	Malaysia	B
OEAV149275	EPI_ISL_418980	2020-03-17	USA	B.1
OEAV147695	EPI_ISL_419590	2020-03-11	Luxembourg	B.1
OEAV227577	EPI_ISL_500087	2020-03-14	United Kingdom	B.1.1
OEAV221614	EPI_ISL_492986	2020-03-10	Italy	B.1
OEAV000196	EPI_ISL_413020	2020-02-27	Switzerland	B.1.1
OEAV199547	EPI_ISL_479806	2020-03-04	Japan	A
OEAV148190	EPI_ISL_417988	2020-03-05	Portugal	B.1
OEAV177471	EPI_ISL_455884	2020-03-08	Sweden	B.1.1
OEAV149120	EPI_ISL_418893	2020-03-13	USA	B.1.595
OEAV153251	EPI_ISL_429455	2020-03-11	Denmark	B.1
OEAV147477	EPI_ISL_417855	2020-03-07	Iceland	B.1.510
OEAV160098	EPI_ISL_437604	2020-03-01	Thailand	A.6
OEAV185733	EPI_ISL_464838	2020-03-12	United Kingdom	B.1.13
OEAV150571	EPI_ISL_418152	2020-03-15	United Kingdom	B.1.223
OEAV155674	EPI_ISL_428831	2020-03-13	Singapore	B.39
OEAV156156	EPI_ISL_434703	2020-03-14	Thailand	A.6
OEAV176355	EPI_ISL_454478	2020-03-08	Sweden	B.1
OEAV144279	EPI_ISL_417294	2020-03-08	United Kingdom	B.1.1
OEAV227915	EPI_ISL_499751	2020-03-16	United Kingdom	B.39
OEAV142380	EPI_ISL_414524	2020-03-01	United Kingdom	B.1
OEAV149288	EPI_ISL_420298	2020-03-19	USA	B.40
OEAV143149	EPI_ISL_416714	2020-03-14	USA	A.1
OEAV262093	EPI_ISL_529171	2020-03-14	USA	A
OEAV199673	EPI_ISL_479930	2020-03-09	Japan	B.1
OEAV143212	EPI_ISL_416439	2020-03-10	USA	A.1
OEAV231028	EPI_ISL_507052	2020-03-15	United Kingdom	B.1.1
OEAV176342	EPI_ISL_454465	2020-03-06	Sweden	B.1
OEAV185186	EPI_ISL_464291	2020-03-02	United Kingdom	B.55
OEAV177208	EPI_ISL_454990	2020-03-02	China	B.4
OEAV143160	EPI_ISL_416725	2020-03-13	USA	B.1.371
OEAV148226	EPI_ISL_418024	2020-03-17	Portugal	B.1
OEAV153156	EPI_ISL_429360	2020-03-09	Denmark	B.3
OEAV147547	EPI_ISL_426179	2020-03-02	India	B.1.1
OEAV142656	EPI_ISL_416510	2020-03-06	France	B.1
OEAV233393	EPI_ISL_508883	2020-03-18	France	B.1
OEAV203426	EPI_ISL_483637	2020-03-17	Hungary	B.1
OEAV153117	EPI_ISL_429321	2020-03-16	Denmark	B.1.428
OEAV185616	EPI_ISL_464721	2020-03-11	United Kingdom	B
OEAV149921	EPI_ISL_422999	2020-03-18	USA	A.1
OEAV159964	EPI_ISL_437887	2020-03-18	Greece	B.1
OEAV172884	EPI_ISL_451359	2020-01-27	China	B
OEAV147164	EPI_ISL_417650	2020-03-18	Iceland	B.1
OEAV188670	EPI_ISL_467893	2020-03-16	USA	B.1
OEAV155792	EPI_ISL_436225	2020-03-16	Spain	A.5
OEAV177113	EPI_ISL_454924	2020-02-28	China	B
OEAV239902	EPI_ISL_513469	2020-03-17	USA	B.1
OEAV227621	EPI_ISL_499893	2020-03-05	United Kingdom	B.61
OEAV185263	EPI_ISL_464368	2020-03-02	United Kingdom	B.1.1
OEAV162017	EPI_ISL_440381	2020-03-14	United Kingdom	B.1.1
OEAV143792	EPI_ISL_418985	2020-03-09	Belgium	B.1.321
OEAV192336	EPI_ISL_475067	2020-03-18	Belgium	B.1
OEAV147624	EPI_ISL_426169	2020-02-05	South Korea	B
OEAV144331	EPI_ISL_418690	2020-03-17	United Kingdom	B.1
OEAV175673	EPI_ISL_452694	2020-03-12	Spain	A.2
OEAV189354	EPI_ISL_467968	2020-03-12	USA	A.1
OEAV143716	EPI_ISL_418806	2020-03-05	Belgium	B.1
OEAV153127	EPI_ISL_429331	2020-03-15	Denmark	B.1.428
OEAV154478	EPI_ISL_434486	2020-03-13	Greece	B.1.1
OEAV147046	EPI_ISL_417685	2020-03-16	Iceland	B.1
OEAV147074	EPI_ISL_417568	2020-03-17	Iceland	B
OEAV142891	EPI_ISL_415152	2020-03-06	Panama	B.1
OEAV154450	EPI_ISL_431240	2020-03-16	China	B.1.1.28
OEAV168098	EPI_ISL_447175	2020-03-18	USA	B.1
OEAV175587	EPI_ISL_452780	2020-03-03	Spain	A.2
OEAV153202	EPI_ISL_429406	2020-03-11	Denmark	B.1
OEAV149637	EPI_ISL_424886	2020-03-06	USA	B.1
OEAV150316	EPI_ISL_418919	2020-03-13	USA	B.1
OEAV159970	EPI_ISL_437894	2020-03-05	Greece	B.1
OEAV142926	EPI_ISL_416323	2020-01-29	China	A
OEAV175831	EPI_ISL_452536	2020-03-11	Spain	A.5
OEAV176436	EPI_ISL_454607	2020-03-19	USA	B.40
OEAV182545	EPI_ISL_460815	2020-03-16	Netherlands	B.1.22
OEAV176338	EPI_ISL_454461	2020-03-05	Sweden	B.1.1
OEAV187755	EPI_ISL_464278	2020-03-02	United Kingdom	B.1
OEAV175370	EPI_ISL_454332	2020-03-14	Portugal	B.1
OEAV176347	EPI_ISL_454470	2020-03-06	Sweden	B.1.1
OEAV224640	EPI_ISL_498168	2020-03-11	Colombia	A.1
OEAV224819	EPI_ISL_498000	2020-03-04	South Korea	B
OEAV153317	EPI_ISL_429521	2020-03-11	Denmark	B.1.428
OEAV228473	EPI_ISL_500398	2020-03-06	Spain	A.2
OEAV202856	EPI_ISL_483949	2020-03-18	United Kingdom	B.1.13
OEAV154756	EPI_ISL_429852	2020-01-25	China	B
OEAV157339	EPI_ISL_430886	2020-03-10	USA	A.1
OEAV172835	EPI_ISL_450873	2020-03-17	Brazil	B.1.1.33
OEAV154624	EPI_ISL_435062	2020-03-16	India	B.1.1
OEAV148181	EPI_ISL_417444	2020-03-04	Pakistan	B.4
OEAV000389	EPI_ISL_414425	2020-03-03	Netherlands	B.1.1
OEAV143025	EPI_ISL_415701	2020-03-02	Switzerland	B.1.1
OEAV151161	EPI_ISL_420900	2020-03-12	Germany	B.1.1
OEAV149922	EPI_ISL_422997	2020-03-17	USA	A.1
OEAV159956	EPI_ISL_437879	2020-03-14	Greece	B.1.1.1
OEAV174058	EPI_ISL_452256	2020-03-05	United Kingdom	B.55
OEAV148794	EPI_ISL_419679	2020-03-02	Spain	A.2
OEAV000518	EPI_ISL_413652	2020-03-05	USA	A.1
OEAV149760	EPI_ISL_418779	2020-03-13	USA	A.1
OEAV176045	EPI_ISL_452289	2020-03-16	USA	B.1
OEAV143504	EPI_ISL_419743	2020-03-09	Australia	B.40
OEAV143172	EPI_ISL_415608	2020-03-08	USA	A.1
OEAV146264	EPI_ISL_425503	2020-03-17	United Kingdom	B.23
OEAV155023	EPI_ISL_428873	2020-03-19	Russia	B.1.513
OEAV199569	EPI_ISL_479828	2020-02-27	Japan	B.12
OEAV185374	EPI_ISL_464479	2020-03-05	United Kingdom	B.4
OEAV227619	EPI_ISL_500109	2020-03-07	United Kingdom	B.61
OEAV185279	EPI_ISL_464384	2020-03-04	United Kingdom	B.1
OEAV149360	EPI_ISL_421364	2020-03-17	USA	A.1
OEAV160001	EPI_ISL_438009	2020-03-06	Austria	B.1
OEAV147484	EPI_ISL_417740	2020-03-15	Iceland	B.1
OEAV147699	EPI_ISL_417533	2020-03-18	Luxembourg	B.1
OEAV185266	EPI_ISL_464371	2020-03-05	United Kingdom	B.1.1
OEAV183094	EPI_ISL_462432	2020-03-17	Singapore	B.1.1
OEAV204846	EPI_ISL_486664	2020-02-26	Italy	B.1
OEAV000303	EPI_ISL_413860	2020-01-30	China	A
OEAV148478	EPI_ISL_425838	2020-03-12	United Kingdom	B.1
OEAV143167	EPI_ISL_416455	2020-03-07	USA	A.1
OEAV160303	EPI_ISL_444817	2020-03-11	Denmark	B.1
OEAV185690	EPI_ISL_464795	2020-03-11	United Kingdom	B.1
OEAV152131	EPI_ISL_426503	2020-03-17	USA	B.1
OEAV159801	EPI_ISL_438038	2020-03-14	Austria	B.1.1.331
OEAV185404	EPI_ISL_464509	2020-03-04	United Kingdom	B
OEAV143370	EPI_ISL_419812	2020-03-16	Australia	A
OEAV143055	EPI_ISL_416832	2020-03-16	USA	B.1
OEAV161924	EPI_ISL_440358	2020-03-18	United Kingdom	B
OEAV149592	EPI_ISL_426317	2020-03-15	USA	B.1.332
OEAV173970	EPI_ISL_452109	2020-03-09	USA	B.1
OEAV202840	EPI_ISL_483933	2020-03-16	United Kingdom	B.3
OEAV144439	EPI_ISL_418758	2020-03-18	United Kingdom	B.40
OEAV157212	EPI_ISL_434748	2020-03-09	USA	B.1
OEAV142638	EPI_ISL_416731	2020-03-03	United Kingdom	B.1.1
OEAV199531	EPI_ISL_479791	2020-03-08	Italy	B.1
OEAV147015	EPI_ISL_417816	2020-03-16	Iceland	B.1.1.5
OEAV175377	EPI_ISL_454339	2020-03-17	Portugal	B.1.1
OEAV160499	EPI_ISL_440245	2020-03-04	United Kingdom	B.1
OEAV149027	EPI_ISL_420785	2020-03-02	USA	B.1.1
OEAV174016	EPI_ISL_452364	2020-02-05	China	B.4
OEAV185890	EPI_ISL_464995	2020-03-13	United Kingdom	B.1
OEAV169883	EPI_ISL_447846	2020-03-05	USA	A.1
OEAV227710	EPI_ISL_499532	2020-03-16	United Kingdom	B.61
OEAV161959	EPI_ISL_440418	2020-03-16	United Kingdom	B.1
OEAV185537	EPI_ISL_464642	2020-03-06	United Kingdom	B.40
OEAV168022	EPI_ISL_445108	2020-03-14	USA	B.1
OEAV150307	EPI_ISL_418908	2020-03-16	USA	A.1
OEAV149331	EPI_ISL_421589	2020-03-18	USA	B.1
OEAV185945	EPI_ISL_465050	2020-03-14	United Kingdom	B.1.1
OEAV142526	EPI_ISL_417030	2020-01-24	Australia	A
OEAV188401	EPI_ISL_467624	2020-03-18	USA	A.1
OEAV185213	EPI_ISL_464318	2020-03-03	United Kingdom	B.1
OEAV142971	EPI_ISL_416368	2020-02-05	China	A
OEAV177452	EPI_ISL_455865	2020-03-06	Sweden	B.1.1
OEAV147673	EPI_ISL_421760	2020-03-17	Luxembourg	B.1
OEAV142555	EPI_ISL_417006	2020-03-05	Belgium	B.1.12
OEAV185358	EPI_ISL_464463	2020-03-03	United Kingdom	B.4
OEAV224902	EPI_ISL_496632	2020-03-13	Panama	A.2
OEAV175049	EPI_ISL_454011	2020-03-13	Portugal	A.2
OEAV234388	EPI_ISL_509628	2020-03-16	Spain	B.1
OEAV149917	EPI_ISL_424179	2020-03-17	USA	A.1
OEAV177123	EPI_ISL_454932	2020-02-11	China	B
OEAV182286	EPI_ISL_460720	2020-03-17	Netherlands	B.1.1
OEAV167275	EPI_ISL_445248	2020-03-09	Chile	B.1
OEAV172212	EPI_ISL_450100	2020-03-13	USA	B.1.1
OEAV183312	EPI_ISL_460313	2020-03-07	USA	B.1
OEAV233504	EPI_ISL_508909	2020-03-18	France	B.1.1
OEAV148301	EPI_ISL_425661	2020-03-12	United Kingdom	B.1
OEAV224839	EPI_ISL_498020	2020-03-15	South Korea	B.41
OEAV199615	EPI_ISL_479874	2020-03-12	Japan	B.12
OEAV144478	EPI_ISL_423918	2020-03-19	United Kingdom	A.2
OEAV236187	EPI_ISL_511041	2020-03-15	Portugal	B.1
OEAV177101	EPI_ISL_454918	2020-03-01	China	B
OEAV150625	EPI_ISL_419438	2020-03-18	United Kingdom	B.1
OEAV185271	EPI_ISL_464376	2020-03-04	United Kingdom	B.60
OEAV172963	EPI_ISL_451306	2020-02-21	Italy	B.1
OEAV173817	EPI_ISL_452004	2020-03-11	Denmark	B.1.8
OEAV177223	EPI_ISL_454999	2020-02-13	China	B
OEAV155928	EPI_ISL_436361	2020-02-29	Spain	A.2
OEAV148176	EPI_ISL_420152	2020-03-17	Norway	B.1
OEAV151229	EPI_ISL_426420	2020-03-05	USA	B.1
OEAV188622	EPI_ISL_467846	2020-03-13	USA	A
OEAV179490	EPI_ISL_457806	2020-03-16	USA	B.1
OEAV185269	EPI_ISL_464374	2020-03-05	United Kingdom	B.1.1
OEAV149639	EPI_ISL_420795	2020-03-01	USA	B.1
OEAV144231	EPI_ISL_417248	2020-03-03	United Kingdom	B.1.91
OEAV239709	EPI_ISL_513773	2020-03-18	USA	B
OEAV142500	EPI_ISL_414590	2020-03-09	USA	A.1
OEAV188084	EPI_ISL_467113	2020-03-12	Spain	A.2
OEAV000056	EPI_ISL_406597	2020-01-23	France	B
OEAV146412	EPI_ISL_418291	2020-03-16	United Kingdom	B.40
OEAV151243	EPI_ISL_426434	2020-03-08	USA	B.1
OEAV200545	EPI_ISL_480960	2020-03-12	Spain	B.1.1
OEAV185963	EPI_ISL_465068	2020-03-13	United Kingdom	B.1.1.323
OEAV155953	EPI_ISL_436386	2020-03-17	Spain	B.1
OEAV147569	EPI_ISL_424342	2020-03-07	Italy	B.1
OEAV151854	EPI_ISL_427050	2020-03-18	Australia	B.1.23
OEAV165880	EPI_ISL_441412	2020-03-11	United Kingdom	B.1.1.1
OEAV152385	EPI_ISL_427529	2020-03-12	USA	B.1
OEAV176352	EPI_ISL_454475	2020-03-06	Sweden	B.1
OEAV142788	EPI_ISL_416603	2020-02-16	Japan	B.5
OEAV144542	EPI_ISL_420483	2020-03-18	United Kingdom	B.1.1.372
OEAV000119	EPI_ISL_413489	2020-03-03	Italy	B.1
OEAV192330	EPI_ISL_475061	2020-03-17	Belgium	B.1.1.75
OEAV227519	EPI_ISL_499824	2020-03-10	United Kingdom	B.40
OEAV231261	EPI_ISL_507013	2020-03-12	Saudi Arabia	B.1
OEAV000324	EPI_ISL_413867	2020-02-05	China	A
OEAV237791	EPI_ISL_512384	2020-03-17	United Kingdom	B.40
OEAV150491	EPI_ISL_421550	2020-03-16	USA	B.1
OEAV150278	EPI_ISL_418875	2020-03-16	USA	B.1.371
OEAV149057	EPI_ISL_426057	2020-03-21	USA	B.1
OEAV195182	EPI_ISL_476903	2020-03-06	USA	A.1
OEAV260247	EPI_ISL_527871	2020-01-20	China	A
OEAV158066	EPI_ISL_428255	2020-03-15	USA	B.1.483
OEAV152407	EPI_ISL_427551	2020-03-14	USA	B.1
OEAV152353	EPI_ISL_427590	2020-03-16	USA	B.1
OEAV155780	EPI_ISL_436213	2020-03-13	Spain	A.2
OEAV197374	EPI_ISL_477683	2020-03-19	USA	B.1
OEAV154909	EPI_ISL_430442	2020-02-29	Malaysia	B
OEAV150185	EPI_ISL_417358	2020-03-13	USA	A.1
OEAV172966	EPI_ISL_450793	2020-03-09	Jamaica	B.40
OEAV15138443	EPI_ISL_426494	2020-03-18	USA	B.1
OEAV174025	EPI_ISL_452344	2020-03-12	China	A.2
OEAV143380	EPI_ISL_419716	2020-03-18	Australia	A.1
OEAV192294	EPI_ISL_475924	2020-03-16	Austria	B.1
OEAV186112	EPI_ISL_465773	2020-03-17	United Kingdom	B.1.1
OEAV188041	EPI_ISL_467118	2020-03-18	Spain	A.2
OEAV146629	EPI_ISL_418428	2020-03-17	France	B.1.1
OEAV149723	EPI_ISL_418957	2020-03-17	USA	A.1
OEAV167538	EPI_ISL_447637	2020-03-13	Greece	B.1.1
OEAV148793	EPI_ISL_419678	2020-03-09	Spain	A.2
OEAV149410	EPI_ISL_421414	2020-03-18	USA	B.1.108
OEAV142923	EPI_ISL_416320	2020-01-28	China	B
OEAV176826	EPI_ISL_454750	2020-02-27	Netherlands	B.1.1
OEAV202184	EPI_ISL_482999	2020-03-15	USA	B
OEAV154612	EPI_ISL_431102	2020-03-11	India	B.1
OEAV235902	EPI_ISL_510178	2020-03-15	Spain	A.2
OEAV194399	EPI_ISL_475986	2020-03-19	Singapore	B.1
OEAV204607	EPI_ISL_485855	2020-03-13	USA	B
OEAV171699	EPI_ISL_447909	2020-01-13	Thailand	B
OEAV152342	EPI_ISL_427579	2020-03-15	USA	B.1
OEAV149798	EPI_ISL_417170	2020-03-02	USA	A.1
OEAV154531	EPI_ISL_428478	2020-01-29	China	B
OEAV154630	EPI_ISL_435070	2020-03-18	India	B.1.1
OEAV235839	EPI_ISL_510250	2020-03-16	Spain	B.1
OEAV148744	EPI_ISL_418245	2020-03-01	Spain	B
OEAV188331	EPI_ISL_466994	2020-03-12	Switzerland	B.1.1
OEAV158291	EPI_ISL_435141	2020-03-12	United Arab Emirates	B.1
OEAV230854	EPI_ISL_501223	2020-03-18	Malaysia	B
OEAV186030	EPI_ISL_465135	2020-03-15	United Kingdom	B.1.13
OEAV143752	EPI_ISL_420324	2020-03-04	Belgium	B.1
OEAV221106	EPI_ISL_492515	2020-03-14	United Kingdom	B.3
OEAV186106	EPI_ISL_465767	2020-03-17	United Kingdom	B.40
OEAV199630	EPI_ISL_479889	2020-03-06	Japan	B.12
OEAV152583	EPI_ISL_436081	2020-03-17	USA	B.1
OEAV203487	EPI_ISL_483708	2020-03-17	Israel	A.2.2
OEAV188095	EPI_ISL_467103	2020-03-12	Spain	A.2
OEAV200606	EPI_ISL_480977	2020-03-18	Spain	B.1
OEAV175581	EPI_ISL_452786	2020-03-07	Spain	A.2
OEAV147628	EPI_ISL_426181	2020-02-23	South Korea	A
OEAV178886	EPI_ISL_456162	2020-03-17	New Zealand	B.31
OEAV199791	EPI_ISL_480047	2020-02-25	Japan	A.16
OEAV235567	EPI_ISL_510285	2020-03-17	Spain	B.1
OEAV165940	EPI_ISL_441436	2020-03-17	United Kingdom	B.1.1
OEAV188298	EPI_ISL_466961	2020-03-11	Switzerland	B.1
OEAV199567	EPI_ISL_479826	2020-02-26	Japan	B.12
OEAV204619	EPI_ISL_485867	2020-03-17	USA	B.1.595
OEAV194967	EPI_ISL_476785	2020-03-11	USA	B
OEAV146248	EPI_ISL_425487	2020-03-17	United Kingdom	B.1
OEAV199807	EPI_ISL_480063	2020-03-06	Japan	A.16
OEAV149853	EPI_ISL_417114	2020-03-05	USA	A.1
OEAV148849	EPI_ISL_425194	2020-03-17	Spain	A.2
OEAV152380	EPI_ISL_427617	2020-03-16	USA	B.1
OEAV227495	EPI_ISL_500036	2020-03-10	United Kingdom	B.61
OEAV199794	EPI_ISL_480050	2020-03-01	Japan	A.16
OEAV172354	EPI_ISL_450514	2020-03-13	Lebanon	B.1
OEAV227709	EPI_ISL_499522	2020-03-17	United Kingdom	B.1.1.372
OEAV147795	EPI_ISL_422668	2020-03-17	Netherlands	B.1.8
OEAV154714	EPI_ISL_429226	2020-03-17	Italy	B.1
OEAV235838	EPI_ISL_510249	2020-03-16	Spain	B.1
OEAV188688	EPI_ISL_467911	2020-03-13	USA	A.1
OEAV185748	EPI_ISL_464853	2020-03-12	United Kingdom	B.29
OEAV142934	EPI_ISL_416331	2020-01-30	China	B.4
OEAV147648	EPI_ISL_417534	2020-03-18	Luxembourg	B.1
OEAV146054	EPI_ISL_425292	2020-03-19	United Kingdom	B.1.1
OEAV175911	EPI_ISL_452455	2020-03-13	Spain	A.2
OEAV187759	EPI_ISL_464282	2020-03-02	United Kingdom	B.1
OEAV146929	EPI_ISL_417539	2020-03-16	Iceland	B.1.1.369
OEAV185833	EPI_ISL_464938	2020-03-12	United Kingdom	B.40
OEAV144318	EPI_ISL_418678	2020-03-16	United Kingdom	B.40
OEAV159792	EPI_ISL_438027	2020-03-11	Austria	B.1.1.331
OEAV175262	EPI_ISL_454224	2020-03-14	Portugal	B.1
OEAV143022	EPI_ISL_415457	2020-02-29	Switzerland	B.1.1
OEAV186096	EPI_ISL_465757	2020-03-15	United Kingdom	B.1
OEAV182085	EPI_ISL_460656	2020-03-19	Netherlands	B.1.22
OEAV000251	EPI_ISL_402120	2020-01-01	China	B
OEAV157512	EPI_ISL_430198	2020-03-17	USA	A.1
OEAV156411	EPI_ISL_435649	2020-03-13	USA	B
OEAV142376	EPI_ISL_414647	2020-03-09	Democratic Republic of the Congo	B.1
OEAV202852	EPI_ISL_483945	2020-03-17	United Kingdom	B.29
OEAV143042	EPI_ISL_416457	2020-03-18	USA	B.1
OEAV198567	EPI_ISL_479214	2020-03-18	United Kingdom	B.1.1
OEAV194546	EPI_ISL_474910	2020-03-12	Canary Islands	B.1
OEAV701677	EPI_ISL_486645	2020-02-14	China	B
OEAV189473	EPI_ISL_468739	2020-03-13	Belgium	B.1
OEAV192888	EPI_ISL_476067	2020-03-11	Czech Republic	B.1
OEAV188297	EPI_ISL_466960	2020-03-11	Switzerland	B.1
OEAV188080	EPI_ISL_467172	2020-03-12	Spain	A.2
OEAV147213	EPI_ISL_424390	2020-03-19	Iceland	B.1.1
OEAV189330	EPI_ISL_468565	2020-03-13	USA	A.1
OEAV154824	EPI_ISL_429707	2020-03-18	Luxembourg	B.1
OEAV153101	EPI_ISL_429304	2020-03-17	Denmark	B.1.428
OEAV15087673	EPI_ISL_428981	2020-03-13	Russia	B.1
OEAV152569	EPI_ISL_436067	2020-03-09	USA	B.1
OEAV193667	EPI_ISL_476843	2020-03-09	Greece	B.28
OEAV175972	EPI_ISL_452393	2020-03-16	Spain	A.2
OEAV185766	EPI_ISL_464871	2020-03-12	United Kingdom	B.1.13
OEAV146702	EPI_ISL_420044	2020-03-18	France	B.1
OEAV143742	EPI_ISL_417422	2020-03-04	Belgium	B.1.1
OEAV000127	EPI_ISL_408667	2020-01-31	Japan	A
OEAV153212	EPI_ISL_429416	2020-03-10	Denmark	B.1
OEAV206076	EPI_ISL_488774	2020-03-17	United Kingdom	B.40
OEAV150627	EPI_ISL_419440	2020-03-17	United Kingdom	B.1.1
OEAV234371	EPI_ISL_509618	2020-03-15	Spain	A.2
OEAV158289	EPI_ISL_435139	2020-02-25	United Arab Emirates	B.4
OEAV161993	EPI_ISL_440376	2020-03-15	United Kingdom	B
OEAV160325	EPI_ISL_444839	2020-03-09	Denmark	B.1
OEAV147790	EPI_ISL_422663	2020-03-10	Netherlands	B.1.8
OEAV000283	EPI_ISL_410218	2020-02-05	Taiwan	B
OEAV176989	EPI_ISL_454887	2020-03-04	Sweden	B.1.1
OEAV149194	EPI_ISL_421714	2020-03-18	USA	A
OEAV000004	EPI_ISL_413213	2020-02-29	Australia	B.4
OEAV187760	EPI_ISL_464283	2020-03-02	United Kingdom	B.1
OEAV150322	EPI_ISL_418927	2020-03-16	USA	A.1
OEAV142547	EPI_ISL_416468	2020-03-02	Belgium	B.1.1
OEAV160309	EPI_ISL_444823	2020-03-11	Denmark	B.1
OEAV148322	EPI_ISL_425682	2020-03-16	United Kingdom	B.29
OEAV185270	EPI_ISL_464375	2020-03-05	United Kingdom	B.1
OEAV157500	EPI_ISL_430185	2020-03-13	USA	B.1.371
OEAV228232	EPI_ISL_497870	2020-03-18	Hong Kong	B.1
OEAV188645	EPI_ISL_467869	2020-03-15	USA	B.1
OEAV199571	EPI_ISL_479830	2020-02-28	Japan	B.12
OEAV142738	EPI_ISL_416047	2020-02-02	China	B
OEAV144207	EPI_ISL_417225	2020-03-02	United Kingdom	B.1.1
OEAV233383	EPI_ISL_508876	2020-03-14	France	B.1
OEAV149099	EPI_ISL_424920	2020-03-06	USA	B.1
OEAV150195	EPI_ISL_417368	2020-03-13	USA	A.1
OEAV159424	EPI_ISL_437246	2020-03-11	Germany	B.1.1
OEAV165936	EPI_ISL_441432	2020-03-17	United Kingdom	B.10
OEAV175052	EPI_ISL_454014	2020-03-13	Portugal	B.1.91
OEAV156706	EPI_ISL_434588	2020-03-14	USA	B.1.320
OEAV154447	EPI_ISL_431785	2020-01-23	China	A
OEAV227546	EPI_ISL_500071	2020-03-13	United Kingdom	B.1
OEAV144485	EPI_ISL_423925	2020-03-18	United Kingdom	B.40
OEAV160525	EPI_ISL_440248	2020-03-15	United Kingdom	B.1
OEAV189897	EPI_ISL_468784	2020-03-08	Spain	B
OEAV146937	EPI_ISL_417542	2020-03-17	Iceland	B.1
OEAV185215	EPI_ISL_464320	2020-03-03	United Kingdom	B
OEAV149632	EPI_ISL_424881	2020-03-05	USA	B.1
OEAV143760	EPI_ISL_420348	2020-03-05	Belgium	B.1
OEAV199675	EPI_ISL_479932	2020-03-13	Japan	A
OEAV228728	EPI_ISL_500644	2020-03-18	Australia	B.1.1
OEAV149864	EPI_ISL_417125	2020-03-06	USA	A.1
OEAV166599	EPI_ISL_443231	2020-03-17	Singapore	A.5
OEAV172842	EPI_ISL_451317	2020-02-03	China	B
OEAV202713	EPI_ISL_483548	2020-03-14	Bahrain	B.4
OEAV147562	EPI_ISL_417423	2020-03-01	Italy	B.1
OEAV158028	EPI_ISL_430891	2020-03-12	USA	B.1
OEAV142425	EPI_ISL_414569	2020-02-12	Hong Kong	B.42
OEAV143248	EPI_ISL_415916	2020-03-11	United Kingdom	B.1.1.1
OEAV175839	EPI_ISL_452528	2020-03-13	Spain	B
OEAV147545	EPI_ISL_420551	2020-03-03	India	B.1
OEAV143178	EPI_ISL_415614	2020-03-09	USA	A.1
OEAV149971	EPI_ISL_424168	2020-03-19	USA	A.1
OEAV222554	EPI_ISL_494574	2020-03-12	USA	B.1.1
OEAV000349	EPI_ISL_414044	2020-02-08	United Kingdom	B
OEAV147522	EPI_ISL_421665	2020-03-10	India	B.4
OEAV147054	EPI_ISL_417837	2020-03-16	Iceland	B.1.8
OEAV149070	EPI_ISL_426070	2020-03-28	USA	B.1
OEAV150485	EPI_ISL_421544	2020-03-15	USA	B.1
OEAV166624	EPI_ISL_444977	2020-03-16	Spain	B.1
OEAV188056	EPI_ISL_467106	2020-03-17	Spain	A.2
OEAV188549	EPI_ISL_467422	2020-03-18	USA	B.1
OEAV147691	EPI_ISL_421752	2020-03-17	Luxembourg	B.1
OEAV000267	EPI_ISL_402129	2019-12-30	China	B
OEAV154568	EPI_ISL_434564	2020-01-24	Hong Kong	B
OEAV175045	EPI_ISL_454007	2020-03-11	Portugal	B.1.1
OEAV204595	EPI_ISL_485843	2020-03-12	USA	B.1.1
OEAV142684	EPI_ISL_416494	2020-03-04	France	B.1
OEAV142395	EPI_ISL_414632	2020-03-04	France	B.1
OEAV177459	EPI_ISL_455872	2020-03-06	Sweden	B.1
OEAV166813	EPI_ISL_444573	2020-03-19	USA	A
OEAV188606	EPI_ISL_467830	2020-03-15	USA	B.6.3
OEAV187737	EPI_ISL_464260	2020-03-01	United Kingdom	B.1
OEAV146936	EPI_ISL_417541	2020-03-17	Iceland	B
OEAV142964	EPI_ISL_416361	2020-02-01	China	B
